# --- KRAJE I KSIĘSTWA RUSKIE (DOPEŁNIACZOWE) ---
MOS;Moskwa;MOS_DOP;Moskwy
TVE;Twer;TVE_DOP;Tweru
RYA;Riazań;RYA_DOP;Riazania
PRK;Pronsk;PRK_DOP;Pronska
PSK;Psków;PSK_DOP;Pskowa
RZH;Rżew;RZH_DOP;Rżewa
VYA;Wiaźma;VYA_DOP;Wiaźmy
TRB;Trubczewsk;TRB_DOP;Trubczewska
BRY;Briańsk;BRY_DOP;Briańska
CHR;Czernihów;CHR_DOP;Czernihowa
STS;Starodub Siewierski;STS_DOP;Staroduba Siewierskiego
NVS;Nowogród Siewierski;NVS_DOP;Nowogrodu Siewierskiego
RYL;Rylsk;RYL_DOP;Rylska
TPS;Toropiec;TPS_DOP;Toropca
BLO;Biełoziero;BLO_DOP;Biełoziera
NSL;Nowosil;NSL_DOP;Nowosila
KCH;Karaczew;KCH_DOP;Karaczewa
KZK;Kozielsk;KZK_DOP;Kozielska
TRS;Tarusa;TRS_DOP;Tarusy
PZL;Perejasław Zaleski;PZL_DOP;Perejasławia Zaleskiego
KLM;Kołomna;KLM_DOP;Kołomny
VLR;Włodzimierz;VLR_DOP;Włodzimierza
UGL;Uglicz;UGL_DOP;Uglicza
YRV;Jurjew-Polskij;YRV_DOP;Jurjewa-Polskiego
GLM;Galicz-Merskij;GLM_DOP;Galicza-Merskiego
VYT;Wiatka;VYT_DOP;Wiatki
PRM;Perm;PRM_DOP;Permu
OBD;Obdorsk;OBD_DOP;Obdorska
PLY;Piełym;PLY_DOP;Piełyma
BAK;Bardak;BAK_DOP;Bardaku
KND;Konda;KND_DOP;Kondy
BGJ;Biełogorje;BGJ_DOP;Biełogorja
KOD;Koda;KOD_DOP;Kody
SVA;Sośwa;SVA_DOP;Sośwy
KZY;Kazym;KZY_DOP;Kazymu
LYA;Lapin;LYA_DOP;Lapina
TBY;Tabory;TBY_DOP;Taborów
KOS;Kostroma;KOS_DOP;Kostromy
MOG;Mołoga;MOG_DOP;Mołogi
YAR;Jarosław;YAR_DOP;Jarosławia
MRM;Murom;MRM_DOP;Muromu
SKY;Starodub;SKY_DOP;Staroduba
KAS;Kaszyn;KAS_DOP;Kaszyna
KLN;Klin;KLN_DOP;Klina
ZUB;Zubcow;ZUB_DOP;Zubcowa
DMI;Dmitrow;DMI_DOP;Dmitrowa
ORE;Orzeszek;ORE_DOP;Orzeszka

