# --- KORONY I MONARCHIE ---
FRA;Francja;FRA_DOP;Francji
ENG;Anglia;ENG_DOP;Anglii
SCO;Szkocja;SCO_DOP;Szkocji
DAN;Dania;DAN_DOP;Danii
NOR;Norwegia;NOR_DOP;Norwegii
SWE;Szwecja;SWE_DOP;Szwecji

# --- ZAKONY I MIASTA (MONARCHIE ZSTĘPNE) ---
LBB;Lubeka;LBB_DOP;Lubeki
LUB;Lübeck;LUB_DOP;Lubeki
RIG;Ryga;RIG_DOP;Rygi
TEU;Krzyżacy;TEU_DOP;Krzyżaków

# --- BRYTANIA I IRLANDIA (KATOLICKIE) ---
MTH;Meath;MTH_DOP;Meath
MCM;Munster;MCM_DOP;Munsteru
KID;Kildare;KID_DOP;Kildare
ORD;Ormond;ORD_DOP;Ormondu
DMS;Desmond;DMS_DOP;Desmondu
BEA;Beare;BEA_DOP;Beare
TYR;Tyrone;TYR_DOP;Tyrone
AMH;Ardmire;AMH_DOP;Ardmire
TRY;Tyrconnell;TRY_DOP;Tyrconnell
IVG;Iveagh;IVG_DOP;Iveagh
HYM;Hy Many;HYM_DOP;Hy Many
IMA;Imaal;IMA_DOP;Imaal
DCI;Decies;DCI_DOP;Decies
ELY;Ely;ELY_DOP;Ely
FCL;Firceall;FCL_DOP;Firceall
DHM;Durham;DHM_DOP;Durham
CET;Chester;CET_DOP;Chester
LAN;Lancaster;LAN_DOP;Lancastera
LEI;Leinster;LEI_DOP;Leinsteru
FMA;Fermanagh;FMA_DOP;Fermanagh
BFN;West Breifne;BFN_DOP;West Breifne
CVN;East Breifne;CVN_DOP;East Breifne
MYO;Mayo;MYO_DOP;Mayo
SLN;Carbury;SLN_DOP;Carbury
FLY;Offaly;FLY_DOP;Offaly
GLY;Galloway;GLY_DOP;Galloway
NOL;Northumberland;NOL_DOP;Northumberlandu
JER;Jersey;JER_DOP;Jersey
MOY;Moray;MOY_DOP;Moray
ORK;Orkady;ORK_DOP;Orkadów
MNN;Mann;MNN_DOP;Mann
WLS;Walia;WLS_DOP;Walii
IRE;Irlandia;IRE_DOP;Irlandii

# --- SĄSIEDZI POLSKI, POMORZE I ŚLĄSK ---
MAZ;Mazowsze;MAZ_DOP;Mazowsza
STE;Szczecin;STE_DOP;Szczecina
WOL;Wolgast;WOL_DOP;Wołogoszczy
SWR;Schwerin;SWR_DOP;Schwerynu
RZB;Ratzeburg;RZB_DOP;Ratzeburga
RST;Rostock;RST_DOP;Rostocku
MKL;Meklemburgia;MKL_DOP;Meklemburgii
ZAG;Żagań;ZAG_DOP;Żagania
GLG;Głogów;GLG_DOP;Głogowa
GLO;Głogów;GLO_DOP;Głogowa
LGC;Legnica;LGC_DOP;Legnicy
OEL;Oleśnica;OEL_DOP;Oleśnicy
BYM;Bytom;BYM_DOP;Bytomia
RCB;Racibórz;RCB_DOP;Raciborza
OSW;Oświęcim;OSW_DOP;Oświęcimia
OPV;Opawa;OPV_DOP;Opawy
